Date,Price,Open,High,Low,Vol.,Change %
1-May-13,"1,372.63","1,396.13","1,397.88","1,365.63",-,-1.71%
30-Apr-13,"1,396.50","1,407.75","1,423.63","1,396.50",-,-0.86%
29-Apr-13,"1,408.63","1,380.13","1,410.38","1,378.13",-,-1.56%
26-Apr-13,"1,431.00","1,420.50","1,431.88","1,417.38",-,0.49%
25-Apr-13,"1,424.00","1,405.00","1,424.13","1,403.75",-,1.40%
24-Apr-13,"1,404.38","1,419.75","1,425.88","1,402.13",-,-1.04%
23-Apr-13,"1,419.13","1,417.13","1,429.88","1,417.13",-,0.08%
22-Apr-13,"1,418.00","1,423.63","1,426.88","1,408.13",-,-0.66%
19-Apr-13,"1,427.38","1,431.50","1,440.88","1,422.13",-,-0.31%
18-Apr-13,"1,431.75","1,420.38","1,441.13","1,419.38",-,0.75%
17-Apr-13,"1,421.13","1,411.13","1,429.38","1,406.13",-,0.62%
16-Apr-13,"1,412.38","1,394.13","1,416.63","1,389.13",-,1.18%
15-Apr-13,"1,395.88","1,413.00","1,419.63","1,394.38",-,-1.23%
12-Apr-13,"1,413.25","1,401.88","1,418.88","1,399.63",-,0.82%
11-Apr-13,"1,401.75","1,392.75","1,405.88","1,382.63",-,0.62%
10-Apr-13,"1,393.13","1,393.88","1,409.38","1,386.13",-,-0.19%
9-Apr-13,"1,395.75","1,379.00","1,396.88","1,375.63",-,1.33%
8-Apr-13,"1,377.38","1,360.00","1,379.88","1,356.38",-,1.11%
5-Apr-13,"1,362.25","1,368.13","1,369.13","1,354.63",-,-0.44%
4-Apr-13,"1,368.25","1,381.88","1,382.63","1,361.13",-,-0.98%
3-Apr-13,"1,381.75","1,392.38","1,393.63","1,375.63",-,-0.77%
2-Apr-13,"1,392.50","1,393.88","1,405.63","1,386.13",-,-0.09%
1-Apr-13,"1,393.75","1,406.75","1,407.00","1,386.63",-,-0.93%
31-Mar-13,"1,406.88","1,402.50","1,408.13","1,400.13",-,0.18%
28-Mar-13,"1,404.38","1,453.63","1,459.63","1,397.63",-,-3.38%
27-Mar-13,"1,453.50","1,446.38","1,457.63","1,443.75",-,0.48%
26-Mar-13,"1,446.50","1,437.63","1,449.38","1,434.25",-,0.63%
25-Mar-13,"1,437.38","1,441.75","1,445.38","1,430.75",-,-0.31%
24-Mar-13,"1,441.88","1,440.63","1,443.25","1,440.63",-,0.16%
22-Mar-13,"1,439.63","1,447.25","1,448.38","1,433.13",-,-0.54%
21-Mar-13,"1,447.38","1,423.13","1,449.88","1,421.88",-,1.70%
20-Mar-13,"1,423.25","1,411.13","1,424.38","1,408.88",-,0.84%
19-Mar-13,"1,411.38","1,410.38","1,418.63","1,403.13",-,0.08%
18-Mar-13,"1,410.25","1,415.63","1,418.63","1,404.38",-,-0.35%
17-Mar-13,"1,415.25","1,424.88","1,424.88","1,415.25",-,-0.78%
15-Mar-13,"1,426.38","1,436.75","1,444.88","1,422.88",-,-0.71%
14-Mar-13,"1,436.63","1,448.13","1,449.88","1,429.13",-,-0.80%
13-Mar-13,"1,448.25","1,468.50","1,468.63","1,440.38",-,-1.37%
12-Mar-13,"1,468.38","1,478.25","1,480.75","1,465.13",-,-0.68%
11-Mar-13,"1,478.38","1,477.50","1,482.88","1,467.88",-,0.07%
10-Mar-13,"1,477.38","1,474.50","1,483.88","1,474.50",-,0.32%
8-Mar-13,"1,472.63","1,472.25","1,484.13","1,450.50",-,0.03%
7-Mar-13,"1,472.13","1,462.50","1,474.50","1,460.88",-,0.64%
6-Mar-13,"1,462.75","1,466.50","1,474.88","1,455.88",-,-0.25%
5-Mar-13,"1,466.38","1,463.50","1,481.50","1,459.13",-,0.24%
4-Mar-13,"1,462.88","1,444.25","1,464.38","1,434.38",-,1.30%
3-Mar-13,"1,444.13","1,441.50","1,446.75","1,440.63",-,-0.03%
1-Mar-13,"1,444.50","1,449.00","1,457.63","1,433.38",-,-0.29%
28-Feb-13,"1,448.75","1,439.50","1,467.25","1,434.13",-,0.65%
27-Feb-13,"1,439.38","1,435.75","1,448.38","1,425.13",-,0.24%
26-Feb-13,"1,435.88","1,434.88","1,442.50","1,420.63",-,0.08%
25-Feb-13,"1,434.75","1,444.63","1,452.88","1,421.63",-,-0.70%
24-Feb-13,"1,444.88","1,443.00","1,446.13","1,435.38",-,-1.03%
22-Feb-13,"1,459.88","1,490.00","1,516.38","1,459.88",-,-2.03%
21-Feb-13,"1,490.13","1,479.38","1,494.13","1,470.75",-,0.74%
20-Feb-13,"1,479.25","1,471.00","1,491.75","1,469.38",-,0.55%
